#layer  Play  Plev
317  779.9  781.1
318  777.5  778.7
319  775.2  776.4
320  772.8  774.0
321  770.5  771.6
322  768.1  769.3
323  765.8  766.9
324  763.4  764.6
325  761.1  762.2
326  758.7  759.9
327  756.4  757.6
328  754.1  755.3
329  751.8  752.9
330  749.5  750.6
331  747.2  748.3
332  744.9  746.0
333  742.6  743.7
334  740.3  741.4
335  738.0  739.2
336  735.7  736.9
337  733.5  734.6
338  731.2  732.3
339  728.9  730.1
340  726.7  727.8
341  724.4  725.6
342  722.2  723.3
343  720.0  721.1
344  717.7  718.8
345  715.5  716.6
346  713.3  714.4
347  711.1  712.2
348  708.8  709.9
349  706.6  707.7
350  704.4  705.5
351  702.2  703.3
352  700.0  701.1
353  697.9  698.9
354  695.7  696.8
355  693.5  694.6
356  691.3  692.4
357  689.2  690.2
358  687.0  688.1
359  684.8  685.9
360  682.7  683.8
361  680.6  681.6
362  678.4  679.5
363  676.3  677.3
364  674.1  675.2
365  672.0  673.1
366  669.9  671.0
367  667.8  668.8
368  665.7  666.7
369  663.6  664.6
370  661.5  662.5
371  659.4  660.4
372  657.3  658.3
373  655.2  656.3
374  653.1  654.2
375  651.1  652.1
376  649.0  650.0
377  646.9  648.0
378  644.9  645.9
379  642.8  643.8
380  640.8  641.8
381  638.7  639.7
382  636.7  637.7
383  634.6  635.7
384  632.6  633.6
385  630.6  631.6
386  628.6  629.6
387  626.6  627.6
388  624.5  625.6
389  622.5  623.5
390  620.5  621.5
391  618.6  619.5
392  616.6  617.6
393  614.6  615.6
394  612.6  613.6
395  610.6  611.6
396  608.7  609.6
397  606.7  607.7
398  604.7  605.7
399  602.8  603.7
400  600.8  601.8
401  598.9  599.8
402  596.9  597.9
403  595.0  596.0
404  593.1  594.0
405  591.1  592.1
406  589.2  590.2
407  587.3  588.3
408  585.4  586.4
409  583.5  584.5
410  581.6  582.6
411  579.7  580.7
412  577.8  578.8
413  576.0  576.9
414  574.1  575.0
415  572.2  573.1
416  570.3  571.3
417  568.5  569.4
418  566.6  567.6
419  564.8  565.7
420  562.9  563.9
421  561.1  562.0
422  559.3  560.2
423  557.4  558.4
424  555.6  556.5
425  553.8  554.7
426  552.0  552.9
427  550.2  551.1
428  548.4  549.3
429  546.6  547.5
430  544.8  545.7
431  543.0  543.9
432  541.2  542.1
433  539.4  540.3
434  537.7  538.5
435  535.9  536.8
436  534.1  535.0
437  532.4  533.3
438  530.6  531.5
439  528.9  529.8
440  527.1  528.0
441  525.4  526.3
442  523.7  524.5
443  521.9  522.8
444  520.2  521.1
445  518.5  519.4
446  516.8  517.6
447  515.1  515.9
448  513.4  514.2
449  511.7  512.5
450  510.0  510.8
451  508.3  509.1
452  506.6  507.4
453  504.9  505.8
454  503.3  504.1
455  501.6  502.4
456  499.9  500.8
457  1011.5  1013.0
458  1008.6  1010.1
459  1005.8  1007.2
460  1002.9  1004.3
461  1000.0  1001.4
462  997.1  998.5
463  994.2  995.7
464  991.4  992.8
465  988.5  990.0
466  985.7  987.1
467  982.9  984.3
468  980.0  981.4
469  977.2  978.6
470  974.4  975.8
471  971.6  973.0
472  968.8  970.2
473  966.0  967.4
474  963.2  964.6
475  960.4  961.8
476  957.6  959.0
477  954.8  956.2
478  952.0  953.4
479  949.3  950.7
480  946.5  947.9
481  943.8  945.1
482  941.0  942.4
483  938.3  939.6
484  935.5  936.9
485  932.8  934.2
486  930.1  931.4
487  927.4  928.7
488  924.7  926.0
489  922.0  923.3
490  919.3  920.6
491  916.6  917.9
492  913.9  915.2
493  911.2  912.5
494  908.5  909.9
495  905.9  907.2
496  903.2  904.5
497  900.5  901.9
498  897.9  899.2
499  895.2  896.6
500  892.6  893.9
501  890.0  891.3
502  887.4  888.7
503  884.7  886.0
504  882.1  883.4
505  879.5  880.8
506  876.9  878.2
507  874.3  875.6
508  871.7  873.0
509  869.1  870.4
510  866.6  867.8
511  864.0  865.3
512  861.4  862.7
513  858.9  860.1
514  856.3  857.6
515  853.7  855.0
516  851.2  852.5
517  848.7  849.9
518  846.1  847.4
519  843.6  844.9
520  841.1  842.3
521  838.6  839.8
522  836.1  837.3
523  833.6  834.8
524  831.1  832.3
525  828.6  829.8
526  826.1  827.3
527  823.6  824.8
528  821.1  822.4
529  818.7  819.9
530  816.2  817.4
531  813.7  815.0
532  811.3  812.5
533  808.8  810.1
534  806.4  807.6
535  804.0  805.2
536  801.5  802.7
537  799.1  800.3
538  796.7  797.9
539  794.3  795.5
540  791.9  793.1
541  789.5  790.7
542  787.1  788.3
543  784.7  785.9
544  782.3  783.5
545  779.9  781.1
546  777.5  778.7
547  775.2  776.4
548  772.8  774.0
549  770.5  771.6
