# pres  Tmin  Tmax  qmin  qmax
8.774518333333333430e+04 2.749673434489445754e+02 2.776066047244097490e+02 1.984252827242016792e-03 4.830185323953628540e-03
8.748553333333334012e+04 2.747235195062606294e+02 2.773635465765225376e+02 1.881778473034501076e-03 4.874112550169229507e-03
8.722626666666666279e+04 2.745898124666811668e+02 2.771179896687073096e+02 1.715088030323386192e-03 4.858346655964851379e-03
8.696810000000000582e+04 2.743762879942211725e+02 2.769125450734686638e+02 1.801564241759479046e-03 4.841058980673551559e-03
8.671208333333332848e+04 2.741728533613188006e+02 2.766798363211663627e+02 1.771207200363278389e-03 4.821525886654853821e-03
8.645400000000000000e+04 2.739831516252380084e+02 2.764188944851935048e+02 1.721549662761390209e-03 4.759508185088634491e-03
8.619681666666666570e+04 2.737802949485790691e+02 2.762240134903258308e+02 1.681656460277736187e-03 4.732425790280103683e-03
8.594169999999999709e+04 2.736188689202272144e+02 2.762366660425847158e+02 1.519682700745761395e-03 4.725479986518621445e-03
8.568506666666666570e+04 2.734464151109783074e+02 2.759847071108393948e+02 1.571219647303223610e-03 4.699833691120147705e-03
8.543085000000000582e+04 2.732610062981011652e+02 2.757598328672681873e+02 1.582252793014049530e-03 4.693233408033847809e-03
8.517680000000000291e+04 2.730759298494672862e+02 2.756412776524884976e+02 1.453069853596389294e-03 4.639834631234407425e-03
8.492306666666666570e+04 2.728763755051708699e+02 2.753771314668460946e+02 1.475868979468941689e-03 4.620404914021492004e-03
8.466961666666666861e+04 2.727105161629596637e+02 2.750456257206467399e+02 1.500518643297255039e-03 4.597138147801160812e-03
8.441748333333333721e+04 2.725072600238530640e+02 2.749643879515027720e+02 1.460698782466351986e-03 4.566762596368789673e-03
8.416521666666665988e+04 2.723170920551111749e+02 2.748254066353971439e+02 1.344297197647392750e-03 4.504696000367403030e-03
8.391318333333333430e+04 2.721636568413532018e+02 2.744428662274010549e+02 1.343858893960714340e-03 4.509009420871734619e-03
8.366255000000000291e+04 2.719642525841825318e+02 2.742761583543920665e+02 1.384424394927918911e-03 4.450248088687658310e-03
8.341228333333334012e+04 2.717983227400929422e+02 2.741507560702622754e+02 1.315237721428275108e-03 4.409049637615680695e-03
8.316228333333334012e+04 2.716331023217554161e+02 2.738372445440751903e+02 1.275964197702705860e-03 4.393504932522773743e-03
8.291269999999999709e+04 2.714056668567579322e+02 2.738274845664586223e+02 1.275939866900444031e-03 4.355015233159065247e-03
8.266475000000000000e+04 2.712731812012795558e+02 2.736557066997402785e+02 1.214619143866002560e-03 4.340244457125663757e-03
8.241655000000000291e+04 2.710589537397351023e+02 2.734847788262132440e+02 1.177916885353624821e-03 4.295472055673599243e-03
8.216828333333334012e+04 2.708593669719759305e+02 2.731955271005505210e+02 1.300878706388175488e-03 4.255525302141904831e-03
